english	fem	masc
beau	beldad	galán
bridegroom	novia	novio
brother	hermana	hermano
duke	duquesa	duque
emperor	emperatriz	emperador
enchanter	hechicera	hechicero
father	madre	padre
fiance	prometida	prometido
priest	sacerdotisa	sacerdote
gentleman	dama	caballero
grandfather	abuela	abuelo
hero	heroína	héroe
lad	muchacha	muchacho
male	hembra	macho
manservant	sirvienta	sirviente
marquis	marquesa	marqués
masseur	masajista	masajista
master	señora	señor
monk	monja	monje
nephew	sobrina	sobrino
sorcerer	hechicera	hechicero
stepfather	madrastra	padrastro
stepson	hijastra	hijastro
steward	camarera	mozo
uncle	tía	tío
waiter	camarera	camarero
widower	viuda	viudo
wizard	bruja	mago
scuba-diver	buceadora	buceador
		
		
removed uno--una; ella--el (no diacritics)		
